host_response_time,host_identity_verified,neighbourhood_cleansed,property_type,room_type,accommodates,bathrooms,bedrooms,beds,bed_type,security_deposit,cleaning_fee,guests_included,number_of_reviews,review_scores_rating,cancellation_policy,reviews_per_month,price
within an hour,TRUE,Centrum-Oost,Bed and breakfast,Hotel room,2,1,1,1,Real Bed,0,0,2,76,98,strict_14_with_grace_period,0.87,135
N/A,FALSE,Centrum-Oost,Townhouse,Entire home/apt,2,1,1,1,Real Bed,200,35,1,9,89,strict_14_with_grace_period,0.25,149
within an hour,TRUE,De Baarsjes - Oud-West,Apartment,Entire home/apt,3,1,1,2,Real Bed,0,0,2,41,94,moderate,0.46,120
within an hour,FALSE,De Baarsjes - Oud-West,Bed and breakfast,Hotel room,2,1,1,2,Real Bed,0,0,1,378,96,moderate,4.23,75
within a few hours,TRUE,De Pijp - Rivierenbuurt,Apartment,Private room,3,1,2,2,Real Bed,0,35,2,214,90,strict_14_with_grace_period,2.4,100
within an hour,TRUE,De Baarsjes - Oud-West,Bed and breakfast,Hotel room,2,1,1,1,Real Bed,0,0,1,296,95,moderate,3.51,109
N/A,FALSE,Zuid,Apartment,Entire home/apt,2,1,1,1,Real Bed,0,25,2,75,93,moderate,0.84,105
within a few hours,TRUE,Centrum-Oost,Apartment,Entire home/apt,4,1,2,3,Real Bed,0,0,1,71,92,strict_14_with_grace_period,0.84,255
within an hour,TRUE,Centrum-West,Apartment,Entire home/apt,4,1.5,1,3,Real Bed,0,100,2,60,97,strict_14_with_grace_period,0.68,175
N/A,FALSE,Oud-Oost,Apartment,Entire home/apt,2,1,1,1,Real Bed,0,0,2,46,95,moderate,0.52,110
within an hour,TRUE,Centrum-West,House,Entire home/apt,2,1.5,3,2,Real Bed,150,48,2,30,99,moderate,0.56,175
N/A,FALSE,Centrum-West,Apartment,Entire home/apt,2,1,1,1,Real Bed,300,40,2,150,97,moderate,1.79,160
N/A,TRUE,De Baarsjes - Oud-West,Apartment,Entire home/apt,2,1,1,1,Real Bed,150,25,2,28,95,moderate,0.36,125
within an hour,TRUE,Oud-Oost,Condominium,Entire home/apt,2,1,1,1,Real Bed,0,25,2,18,96,strict_14_with_grace_period,0.34,150
within a few hours,TRUE,Westerpark,Guest suite,Private room,2,1.5,1,1,Real Bed,250,50,1,402,94,moderate,5.8,105
N/A,FALSE,Slotervaart,Apartment,Private room,2,1,0,1,Pull-out Sofa,250,20,1,38,98,moderate,1.08,72
within a day,TRUE,De Baarsjes - Oud-West,Apartment,Entire home/apt,4,1.5,3,3,Real Bed,100,40,3,53,97,moderate,0.6,200
within an hour,TRUE,Slotervaart,Condominium,Entire home/apt,2,1.5,1,1,Real Bed,500,60,4,44,98,flexible,0.5,75
N/A,FALSE,Bos en Lommer,Apartment,Entire home/apt,5,1,2,4,Real Bed,250,35,2,96,88,moderate,1.09,79
within a day,FALSE,De Baarsjes - Oud-West,Apartment,Entire home/apt,2,1,1,1,Real Bed,0,25,1,35,99,flexible,0.43,130
within a day,TRUE,De Baarsjes - Oud-West,Apartment,Entire home/apt,3,1,1,1,Real Bed,200,35,2,24,97,strict_14_with_grace_period,0.28,90
within a day,FALSE,De Baarsjes - Oud-West,Apartment,Entire home/apt,4,big,3,3,Real Bed,0,100,4,16,99,strict_14_with_grace_period,0.22,400
within an hour,FALSE,De Pijp - Rivierenbuurt,Apartment,Entire home/apt,3,1,2,2,Real Bed,0,0,2,28,99,strict_14_with_grace_period,0.33,140
N/A,TRUE,Zuid,Apartment,Entire home/apt,5,1,3,3,Real Bed,300,50,2,11,96,strict_14_with_grace_period,0.15,117
within a day,FALSE,Centrum-Oost,Apartment,Entire home/apt,4,1,3,5,Real Bed,400,85,5,59,94,strict_14_with_grace_period,0.7,299
within an hour,FALSE,Zuid,Apartment,Private room,3,1,2,3,Real Bed,0,35,2,117,99,strict_14_with_grace_period,1.39,140
within an hour,TRUE,Westerpark,Apartment,Entire home/apt,2,1,1,1,Real Bed,300,0,2,93,97,moderate,1.06,78
within a few hours,FALSE,Centrum-West,Apartment,Entire home/apt,5,1,2,3,Real Bed,0,25,4,62,95,moderate,0.71,400
within an hour,TRUE,Centrum-West,Serviced apartment,Hotel room,7,big,5,8,Real Bed,500,130,big,109,97,strict_14_with_grace_period,1.37,700
within an hour,TRUE,Watergraafsmeer,Apartment,Entire home/apt,2,1,1,1,Real Bed,300,0,2,6,100,strict_14_with_grace_period,0.08,120
within an hour,FALSE,Noord-Oost,Apartment,Private room,4,1,1,2,Real Bed,100,0,2,2,100,moderate,0.14,139
within a day,TRUE,Zuid,Apartment,Entire home/apt,4,1,2,1,Real Bed,350,35,2,73,83,strict_14_with_grace_period,0.83,155
within a day,TRUE,Westerpark,Apartment,Entire home/apt,3,1.5,1,4,Real Bed,350,75,2,56,93,strict_14_with_grace_period,0.64,125
within an hour,FALSE,Centrum-West,Houseboat,Entire home/apt,4,2,2,2,Real Bed,400,100,4,13,98,strict_14_with_grace_period,0.15,290
within a day,TRUE,Centrum-West,Apartment,Entire home/apt,2,1,1,1,Real Bed,300,45,1,22,97,moderate,0.26,160
within a day,TRUE,Bos en Lommer,Apartment,Entire home/apt,4,1.5,3,3,Real Bed,100,60,1,23,99,moderate,0.3,180
within a day,TRUE,Westerpark,Boat,Private room,2,1,1,1,Real Bed,0,25,1,181,97,moderate,5.06,110
within a day,TRUE,Centrum-Oost,Apartment,Entire home/apt,1,1,1,1,Real Bed,300,30,2,28,98,strict_14_with_grace_period,0.32,138
within an hour,FALSE,Slotervaart,Apartment,Private room,2,1,1,1,Real Bed,150,30,2,72,96,moderate,0.83,80
a few days or more,TRUE,De Pijp - Rivierenbuurt,Apartment,Private room,2,1,1,1,Real Bed,0,50,1,48,96,strict_14_with_grace_period,0.55,60
within a few hours,TRUE,Centrum-Oost,Apartment,Private room,1,1.5,1,1,Real Bed,100,10,1,325,93,moderate,3.7,55
within an hour,FALSE,De Baarsjes - Oud-West,Apartment,Entire home/apt,2,1,1,1,Real Bed,0,39,2,28,98,strict_14_with_grace_period,0.67,179
within a day,TRUE,Watergraafsmeer,Condominium,Entire home/apt,4,1,2,2,Real Bed,250,0,1,56,97,strict_14_with_grace_period,0.64,140
within a few hours,TRUE,De Baarsjes - Oud-West,Guest suite,Private room,2,0.5,1,1,Real Bed,0,18,1,197,94,moderate,2.33,65
N/A,TRUE,Oud-Oost,Apartment,Entire home/apt,4,1,2,4,Real Bed,250,50,4,7,100,strict_14_with_grace_period,0.08,139
within a day,TRUE,Westerpark,Loft,Entire home/apt,4,1,1,2,Real Bed,150,50,2,110,93,moderate,1.26,295
within a few hours,TRUE,Bos en Lommer,Apartment,Entire home/apt,4,1.5,1,4,Real Bed,250,0,1,58,98,strict_14_with_grace_period,0.69,200
N/A,TRUE,De Baarsjes - Oud-West,Apartment,Entire home/apt,6,2,3,4,Real Bed,250,50,3,40,90,strict_14_with_grace_period,0.79,230
N/A,TRUE,De Baarsjes - Oud-West,Apartment,Entire home/apt,2,1,1,1,Real Bed,200,0,1,23,95,moderate,0.47,110
N/A,FALSE,Oostelijk Havengebied - Indische Buurt,House,Entire home/apt,4,2,3,4,Real Bed,0,50,1,46,91,strict_14_with_grace_period,0.59,299
N/A,TRUE,De Baarsjes - Oud-West,Apartment,Entire home/apt,2,1,1,1,Real Bed,0,0,2,18,96,strict_14_with_grace_period,0.21,50
N/A,TRUE,Westerpark,Apartment,Entire home/apt,2,1,1,2,Real Bed,200,40,1,10,98,strict_14_with_grace_period,0.2,125
within a day,TRUE,De Baarsjes - Oud-West,Apartment,Entire home/apt,4,1,1,2,Real Bed,250,30,2,22,95,moderate,0.25,120
within a day,FALSE,Zuid,Apartment,Entire home/apt,6,2.5,3,3,Real Bed,0,200,4,20,89,flexible,0.23,525
within a day,FALSE,Centrum-West,Apartment,Private room,1,2,1,1,Real Bed,0,40,1,21,97,moderate,0.32,139
N/A,TRUE,Oud-Oost,Apartment,Entire home/apt,4,1.5,4,4,Real Bed,500,65,4,5,100,strict_14_with_grace_period,0.06,195
N/A,TRUE,Centrum-West,House,Entire home/apt,4,2,3,2,Real Bed,500,70,1,2,100,strict_14_with_grace_period,0.02,250
N/A,FALSE,De Pijp - Rivierenbuurt,Apartment,Entire home/apt,3,1,2,2,Real Bed,200,25,1,16,99,strict_14_with_grace_period,0.18,150
within a day,FALSE,Centrum-Oost,Apartment,Entire home/apt,4,1,2,2,Real Bed,300,40,3,120,93,strict_14_with_grace_period,1.38,175
within a few hours,TRUE,Zuid,Apartment,Entire home/apt,2,1,1,1,Real Bed,0,25,2,55,99,moderate,0.64,140
within a few hours,TRUE,Centrum-Oost,Apartment,Private room,2,1,1,2,Real Bed,400,40,2,94,96,strict_14_with_grace_period,1.1,140
within a few hours,TRUE,Zuid,Bed and breakfast,Private room,3,0,0,0,Real Bed,0,20,1,355,97,strict_14_with_grace_period,4.09,65
N/A,FALSE,De Baarsjes - Oud-West,Apartment,Entire home/apt,4,1,2,2,Real Bed,300,69,2,10,98,moderate,0.12,150
N/A,FALSE,Centrum-West,Apartment,Entire home/apt,2,1,1,1,Real Bed,0,50,1,5,96,strict_14_with_grace_period,0.1,125
N/A,TRUE,De Baarsjes - Oud-West,Apartment,Entire home/apt,2,1.5,2,1,Real Bed,0,100,4,26,96,strict_14_with_grace_period,0.35,206
within an hour,TRUE,Centrum-Oost,Loft,Entire home/apt,4,2,4,7,Real Bed,0,30,1,14,96,strict_14_with_grace_period,0.22,245
within a few hours,FALSE,Centrum-Oost,Apartment,Entire home/apt,5,1,3,4,Real Bed,0,50,1,33,94,strict_14_with_grace_period,0.38,200
within an hour,TRUE,Westerpark,Guest suite,Private room,2,1,1,1,Real Bed,100,0,2,411,99,moderate,4.87,149
N/A,TRUE,De Baarsjes - Oud-West,Apartment,Entire home/apt,4,1,2,2,Real Bed,0,25,2,6,97,moderate,0.08,97
N/A,TRUE,De Pijp - Rivierenbuurt,Townhouse,Entire home/apt,4,1.5,2,3,Real Bed,200,50,4,76,91,flexible,0.91,250
within an hour,FALSE,De Pijp - Rivierenbuurt,Apartment,Entire home/apt,3,1,1,2,Real Bed,100,50,2,16,87,strict_14_with_grace_period,0.18,140
within a day,TRUE,Slotervaart,Apartment,Entire home/apt,2,1,1,1,Real Bed,750,45,2,10,96,strict_14_with_grace_period,0.14,85
within a day,FALSE,Bos en Lommer,Apartment,Entire home/apt,2,1,1,1,Real Bed,650,45,1,22,99,strict_14_with_grace_period,0.25,144
within an hour,FALSE,Centrum-West,Apartment,Entire home/apt,2,1,1,1,Real Bed,250,60,1,63,95,moderate,0.8,120
N/A,TRUE,Oud-Noord,Apartment,Entire home/apt,2,1,1,1,Real Bed,500,0,2,10,96,moderate,0.36,100
N/A,FALSE,Geuzenveld - Slotermeer,Apartment,Private room,2,1.5,1,1,Real Bed,0,15,1,241,87,strict_14_with_grace_period,3,32
within an hour,FALSE,Oud-Noord,Townhouse,Entire home/apt,4,1.5,2,3,Real Bed,0,50,1,19,98,strict_14_with_grace_period,0.22,140
N/A,FALSE,Zuid,Apartment,Entire home/apt,2,1,1,1,Real Bed,750,45,1,10,100,strict_14_with_grace_period,0.19,139
N/A,FALSE,Centrum-Oost,Townhouse,Entire home/apt,4,2,3,4,Real Bed,400,75,2,1,80,strict_14_with_grace_period,0.04,230
within a few hours,TRUE,Centrum-Oost,Apartment,Entire home/apt,6,1,3,6,Real Bed,150,0,1,140,89,strict_14_with_grace_period,2.51,360
N/A,FALSE,Centrum-Oost,Condominium,Entire home/apt,4,1,2,2,Real Bed,0,55,2,39,97,strict_14_with_grace_period,0.46,110
within an hour,TRUE,Oud-Oost,Apartment,Entire home/apt,2,1,1,1,Real Bed,100,35,2,38,96,moderate,0.51,90
within a few hours,TRUE,Centrum-West,Apartment,Entire home/apt,4,1,2,1,Real Bed,200,0,5,56,88,strict_14_with_grace_period,0.85,270
within a day,FALSE,Oud-Oost,Apartment,Entire home/apt,2,1,1,1,Real Bed,0,15,2,25,94,moderate,0.29,85
N/A,FALSE,Zuid,Apartment,Entire home/apt,5,1,3,3,Real Bed,0,80,2,17,91,moderate,0.2,118
within a day,TRUE,De Baarsjes - Oud-West,Apartment,Entire home/apt,3,1,1,1,Real Bed,150,10,2,35,97,moderate,0.42,130
N/A,FALSE,Watergraafsmeer,Apartment,Entire home/apt,4,1.5,4,4,Real Bed,0,100,4,7,97,flexible,0.08,140
N/A,TRUE,Zuid,Apartment,Entire home/apt,2,1,1,1,Real Bed,250,50,2,8,100,strict_14_with_grace_period,0.09,150
within an hour,TRUE,Bijlmer-Oost,House,Entire home/apt,5,1.5,3,5,Real Bed,750,95,4,56,96,moderate,0.65,225
within an hour,FALSE,Centrum-Oost,Serviced apartment,Hotel room,2,1,1,1,Real Bed,0,25,1,307,98,strict_14_with_grace_period,4.7,65
within a few hours,FALSE,De Baarsjes - Oud-West,Apartment,Entire home/apt,4,1,1,2,Real Bed,100,0,3,210,89,strict_14_with_grace_period,2.59,90
N/A,TRUE,Zuid,Apartment,Entire home/apt,2,1,1,1,Real Bed,300,35,1,32,97,moderate,0.37,200
within an hour,TRUE,Centrum-Oost,Bed and breakfast,Hotel room,2,1,1,1,Real Bed,0,15,1,234,99,flexible,2.75,90
within a few hours,FALSE,Oud-Oost,Apartment,Entire home/apt,2,1.5,1,2,Real Bed,250,45,2,28,92,moderate,0.33,150
N/A,TRUE,Centrum-West,Apartment,Entire home/apt,2,1,2,4,Real Bed,200,35,4,20,98,flexible,0.23,150
within an hour,FALSE,Westerpark,Bed and breakfast,Private room,2,1,1,1,Real Bed,100,35,2,254,95,strict_14_with_grace_period,3.18,83
within an hour,FALSE,Centrum-West,Bed and breakfast,Hotel room,2,1,0,1,Real Bed,0,20,1,556,94,moderate,6.45,80
within a day,TRUE,Watergraafsmeer,Apartment,Entire home/apt,4,1.5,3,3,Real Bed,200,45,1,29,96,strict_14_with_grace_period,0.38,139
within an hour,TRUE,De Baarsjes - Oud-West,Apartment,Entire home/apt,4,1,2,2,Real Bed,250,35,2,34,98,moderate,0.41,232
within an hour,TRUE,Buitenveldert - Zuidas,Apartment,Entire home/apt,2,1,3,1,Pull-out Sofa,600,50,2,7,100,strict_14_with_grace_period,0.1,180
within a few hours,TRUE,Noord-Oost,Bed and breakfast,Private room,2,1,1,1,Real Bed,0,0,2,354,97,flexible,4.12,78
within an hour,TRUE,IJburg - Zeeburgereiland,Townhouse,Private room,4,1,1,4,Real Bed,0,5,1,278,85,strict_14_with_grace_period,3.24,85
N/A,FALSE,Westerpark,Loft,Private room,2,1,1,1,Real Bed,150,35,2,195,97,strict_14_with_grace_period,2.29,69
a few days or more,FALSE,Westerpark,Apartment,Entire home/apt,3,1,2,2,Real Bed,0,50,2,32,99,moderate,0.38,235
within a few hours,TRUE,Centrum-West,Apartment,Entire home/apt,2,1,1,1,Real Bed,0,50,1,38,96,flexible,0.52,160
within an hour,FALSE,De Baarsjes - Oud-West,Apartment,Entire home/apt,4,3,3,2,Real Bed,100,50,4,18,100,flexible,0.21,120
within a few hours,FALSE,Oud-Oost,Apartment,Entire home/apt,4,2,3,5,Real Bed,200,80,4,28,97,moderate,0.38,213
N/A,TRUE,De Baarsjes - Oud-West,Apartment,Entire home/apt,2,1,1,2,Real Bed,150,25,2,18,93,moderate,0.21,140
N/A,FALSE,Westerpark,Apartment,Entire home/apt,2,1,1,1,Real Bed,300,30,1,71,93,moderate,0.83,70
within an hour,FALSE,Centrum-West,Bed and breakfast,Hotel room,2,1,0,1,Real Bed,0,25,1,329,96,moderate,3.8,90
N/A,TRUE,De Pijp - Rivierenbuurt,Houseboat,Entire home/apt,5,2,4,5,Real Bed,0,60,2,14,100,moderate,0.16,150
N/A,TRUE,De Baarsjes - Oud-West,Apartment,Entire home/apt,2,1,1,1,Real Bed,100,0,2,36,99,strict_14_with_grace_period,0.42,125
within a few hours,TRUE,Centrum-West,Apartment,Entire home/apt,4,1,2,4,Real Bed,250,35,3,44,96,moderate,0.52,225
N/A,TRUE,De Baarsjes - Oud-West,Apartment,Entire home/apt,4,1.5,2,2,Real Bed,350,25,4,5,95,strict_14_with_grace_period,0.06,336
N/A,FALSE,Centrum-West,Loft,Entire home/apt,2,1,1,1,Real Bed,100,25,1,21,93,moderate,0.25,125
within a day,FALSE,Westerpark,Loft,Entire home/apt,4,1,0,4,Real Bed,150,30,2,136,97,moderate,1.59,100
N/A,TRUE,Zuid,Apartment,Entire home/apt,2,1,1,1,Real Bed,0,25,1,15,94,strict_14_with_grace_period,0.2,79
within an hour,TRUE,Oostelijk Havengebied - Indische Buurt,Houseboat,Entire home/apt,4,1.5,2,3,Real Bed,0,0,3,19,100,strict_14_with_grace_period,0.25,400
N/A,TRUE,Bos en Lommer,Apartment,Entire home/apt,4,1,2,2,Real Bed,500,75,2,1,97,strict_14_with_grace_period,0.01,105
N/A,TRUE,De Baarsjes - Oud-West,Apartment,Entire home/apt,2,1,1,1,Real Bed,250,25,2,22,100,moderate,0.26,105
N/A,FALSE,Watergraafsmeer,Apartment,Entire home/apt,2,1,1,1,Real Bed,150,35,2,38,93,moderate,0.45,99
N/A,FALSE,Oud-Oost,Apartment,Entire home/apt,2,1,1,1,Real Bed,0,25,1,46,94,moderate,0.54,90
within an hour,FALSE,Centrum-West,Guest suite,Entire home/apt,2,1,1,1,Real Bed,0,30,2,206,97,strict_14_with_grace_period,2.49,100
N/A,TRUE,Centrum-Oost,Apartment,Entire home/apt,2,1,1,1,Real Bed,0,0,1,107,91,flexible,1.27,139
N/A,TRUE,De Baarsjes - Oud-West,Apartment,Entire home/apt,2,1,1,1,Real Bed,100,40,1,34,99,moderate,0.4,120
N/A,FALSE,Westerpark,Apartment,Entire home/apt,2,1,1,1,Real Bed,0,25,1,17,95,strict_14_with_grace_period,0.2,99
within an hour,FALSE,Centrum-Oost,Bed and breakfast,Private room,2,1,1,1,Real Bed,0,0,1,65,93,moderate,1.14,180
within an hour,FALSE,Centrum-Oost,Serviced apartment,Entire home/apt,4,2.5,2,4,Real Bed,0,0,2,32,95,strict_14_with_grace_period,0.74,250
within a day,TRUE,Centrum-West,Apartment,Entire home/apt,2,1,1,1,Real Bed,0,30,1,215,98,flexible,2.5,110
a few days or more,FALSE,De Pijp - Rivierenbuurt,Apartment,Entire home/apt,2,1,1,1,Real Bed,0,20,2,32,91,flexible,0.37,150
within an hour,TRUE,Centrum-West,Apartment,Entire home/apt,2,1,1,1,Real Bed,0,45,1,47,98,moderate,0.55,154
N/A,TRUE,Buitenveldert - Zuidas,House,Entire home/apt,big,2,4,5,Real Bed,500,100,5,12,100,moderate,0.47,170
N/A,TRUE,De Baarsjes - Oud-West,Apartment,Entire home/apt,2,1,1,1,Real Bed,0,0,1,29,93,moderate,0.34,140
within an hour,TRUE,Centrum-West,Bed and breakfast,Hotel room,2,1,1,1,Real Bed,100,20,1,611,97,moderate,7.17,85
within an hour,TRUE,Centrum-West,Bed and breakfast,Hotel room,2,1,1,1,Real Bed,100,20,1,516,97,moderate,6.1,85
N/A,TRUE,Centrum-Oost,Apartment,Entire home/apt,4,1.5,2,2,Real Bed,200,70,2,4,95,flexible,0.09,150
within a day,TRUE,De Baarsjes - Oud-West,House,Private room,4,1,1,2,Real Bed,200,25,3,94,86,strict_14_with_grace_period,1.21,160
within a few hours,FALSE,Watergraafsmeer,Townhouse,Entire home/apt,5,3,4,8,Real Bed,0,80,4,34,96,moderate,0.42,205
N/A,TRUE,Watergraafsmeer,House,Entire home/apt,4,1,2,2,Real Bed,250,50,2,12,98,moderate,0.16,170
within a few hours,FALSE,Centrum-Oost,Loft,Entire home/apt,4,2,2,2,Real Bed,500,200,4,21,96,strict_14_with_grace_period,0.26,340
within a few hours,TRUE,Oud-Noord,Loft,Entire home/apt,2,1.5,1,1,Real Bed,250,50,1,64,85,strict_14_with_grace_period,0.75,87
within a few hours,FALSE,Westerpark,Apartment,Entire home/apt,4,1,3,3,Real Bed,200,35,4,22,100,moderate,0.26,250
within an hour,TRUE,De Baarsjes - Oud-West,Apartment,Entire home/apt,2,1,2,2,Real Bed,100,40,2,10,93,strict_14_with_grace_period,0.13,120
within an hour,FALSE,Noord-West,Apartment,Entire home/apt,2,1,1,2,Real Bed,0,0,1,14,100,strict_14_with_grace_period,0.19,140
N/A,TRUE,Centrum-West,Apartment,Entire home/apt,2,1,1,1,Real Bed,0,45,1,29,94,strict_14_with_grace_period,0.35,147
within an hour,FALSE,Centrum-West,Apartment,Entire home/apt,2,1,1,1,Real Bed,100,30,1,26,97,moderate,0.3,175
N/A,FALSE,De Pijp - Rivierenbuurt,Apartment,Entire home/apt,2,1,1,1,Real Bed,250,60,1,2,97,strict_14_with_grace_period,0.03,199
N/A,FALSE,De Pijp - Rivierenbuurt,Apartment,Entire home/apt,4,1,2,4,Real Bed,0,50,2,54,96,strict_14_with_grace_period,0.64,245
within a few hours,FALSE,Centrum-West,Apartment,Entire home/apt,2,1,1,1,Real Bed,100,35,1,25,97,moderate,0.29,190
within a day,TRUE,De Pijp - Rivierenbuurt,Apartment,Entire home/apt,2,1.5,5,2,Real Bed,0,0,2,21,95,moderate,0.39,125
N/A,FALSE,Westerpark,Apartment,Entire home/apt,2,1,1,1,Real Bed,100,45,2,12,85,strict_14_with_grace_period,0.14,100
N/A,FALSE,De Baarsjes - Oud-West,House,Entire home/apt,2,1,1,1,Real Bed,200,50,1,4,95,moderate,0.06,69
within a day,TRUE,Westerpark,Apartment,Entire home/apt,4,1,2,2,Real Bed,250,25,2,16,92,moderate,0.19,214
within an hour,FALSE,Centrum-Oost,Apartment,Entire home/apt,2,1,1,1,Pull-out Sofa,100,0,1,30,92,flexible,0.35,150
within a few hours,TRUE,Centrum-Oost,Apartment,Entire home/apt,2,1,1,1,Real Bed,400,60,3,39,99,strict_14_with_grace_period,0.62,295
within an hour,FALSE,De Baarsjes - Oud-West,Apartment,Entire home/apt,4,1,2,4,Real Bed,100,55,2,20,91,strict_14_with_grace_period,0.55,90
N/A,TRUE,Oud-Oost,Apartment,Entire home/apt,3,1.5,2,2,Real Bed,0,45,3,34,98,strict_14_with_grace_period,0.41,175
N/A,TRUE,De Baarsjes - Oud-West,Apartment,Private room,3,1,0,2,Real Bed,0,15,1,14,85,moderate,0.16,250
within an hour,TRUE,De Pijp - Rivierenbuurt,Apartment,Private room,2,1,1,1,Futon,100,15,1,373,92,strict_14_with_grace_period,5.98,80
within an hour,TRUE,Geuzenveld - Slotermeer,House,Private room,2,1.5,1,2,Real Bed,100,25,1,268,96,strict_14_with_grace_period,3.15,65
N/A,FALSE,De Baarsjes - Oud-West,Apartment,Entire home/apt,3,1,1,2,Real Bed,100,0,3,17,92,moderate,0.2,108
within a day,TRUE,Centrum-Oost,Apartment,Entire home/apt,2,1.5,1,1,Real Bed,200,50,2,80,94,moderate,1.03,120
within an hour,TRUE,Centrum-West,Apartment,Private room,3,1,1,2,Real Bed,0,25,3,376,90,strict_14_with_grace_period,4.45,175
within an hour,TRUE,De Baarsjes - Oud-West,Apartment,Entire home/apt,2,1,1,1,Real Bed,400,30,2,61,96,moderate,0.72,70
within a few hours,FALSE,Centrum-West,Apartment,Entire home/apt,4,1,2,4,Real Bed,500,70,2,115,97,strict_14_with_grace_period,1.38,250
within a few hours,FALSE,De Baarsjes - Oud-West,Apartment,Entire home/apt,2,1,2,2,Real Bed,0,15,1,11,95,strict_14_with_grace_period,0.16,95
within a few hours,TRUE,Centrum-West,Apartment,Private room,2,1,1,1,Real Bed,0,25,2,653,96,strict_14_with_grace_period,7.71,85
within a day,TRUE,IJburg - Zeeburgereiland,Apartment,Entire home/apt,4,1,2,4,Real Bed,150,50,1,23,95,moderate,0.27,120
within an hour,TRUE,De Baarsjes - Oud-West,Apartment,Entire home/apt,2,1,1,1,Real Bed,100,30,2,52,96,moderate,0.62,119
within a few hours,FALSE,Westerpark,Apartment,Entire home/apt,3,1,2,2,Real Bed,0,30,1,58,93,strict_14_with_grace_period,0.69,95
within a day,TRUE,De Baarsjes - Oud-West,Apartment,Entire home/apt,4,1.5,2,2,Real Bed,450,35,2,163,98,strict_14_with_grace_period,1.92,150
N/A,FALSE,Centrum-Oost,Apartment,Entire home/apt,3,1,2,2,Real Bed,0,40,1,2,100,moderate,0.08,250
N/A,TRUE,De Pijp - Rivierenbuurt,Apartment,Entire home/apt,2,1,1,1,Real Bed,0,0,2,24,92,strict_14_with_grace_period,0.29,149
N/A,TRUE,Westerpark,Apartment,Entire home/apt,2,1,1,1,Real Bed,250,15,2,23,96,strict_14_with_grace_period,0.27,119
N/A,FALSE,De Pijp - Rivierenbuurt,Apartment,Entire home/apt,2,1,1,1,Real Bed,150,25,1,15,86,flexible,0.18,80
within a few hours,FALSE,Bos en Lommer,Apartment,Entire home/apt,4,1.5,2,4,Real Bed,0,25,1,84,97,strict_14_with_grace_period,0.99,200
within an hour,FALSE,De Baarsjes - Oud-West,Apartment,Entire home/apt,2,1.5,2,1,Real Bed,0,35,1,7,100,strict_14_with_grace_period,0.08,150
N/A,TRUE,Centrum-Oost,Apartment,Entire home/apt,2,1,1,1,Real Bed,0,50,2,120,93,moderate,1.43,219
within a few hours,TRUE,Zuid,Apartment,Entire home/apt,2,1.5,1,1,Real Bed,200,25,2,233,90,strict_14_with_grace_period,2.92,97
within a day,TRUE,Centrum-West,Townhouse,Entire home/apt,6,2,5,big,Real Bed,500,50,4,27,96,strict_14_with_grace_period,0.32,275
within a day,FALSE,De Pijp - Rivierenbuurt,Apartment,Private room,2,1,1,1,Real Bed,0,0,1,161,97,moderate,3.61,110
N/A,TRUE,De Baarsjes - Oud-West,Apartment,Entire home/apt,2,1,1,1,Real Bed,0,25,2,10,100,moderate,2.97,121
N/A,TRUE,Centrum-West,Apartment,Entire home/apt,2,1,1,1,Real Bed,0,30,1,6,100,strict_14_with_grace_period,0.07,149
N/A,TRUE,De Baarsjes - Oud-West,Boat,Entire home/apt,2,1,1,1,Real Bed,150,40,2,59,98,moderate,0.73,99
within an hour,TRUE,Centrum-West,Apartment,Entire home/apt,3,1,0,2,Real Bed,250,40,2,10,96,strict_14_with_grace_period,0.19,250
N/A,FALSE,Centrum-Oost,Apartment,Entire home/apt,2,1.5,1,1,Real Bed,150,45,2,24,98,moderate,0.62,130
within a few hours,FALSE,Centrum-Oost,Apartment,Entire home/apt,2,1,1,1,Real Bed,250,50,2,52,92,strict_14_with_grace_period,0.85,170
